प्रसिद्ध,Famous
आश्चर्य,The surprise
रिकॉर्ड,The record
लंबे,Long
अभी,now
खोलने,To open
शॉट,Shot
पूरी,Complete
स्थिति,Event
अनुकूल,Favorable
बाइक,Bike
कुत्ता,dog
प्यारा,Cute
स्पर्श,Touch
भीतर,Within
शब्द,word
प्रतिभाशाली,Brilliant
अक्सर,often
जाता,go
जीनियस,genius
मोचन,Redemption
शक्तिशाली,Powerful
संदेश,message
भाई,brother
परिवार,family
भयानक,Scary
बीमारी,disease
परिवर्तन,Change
काम,work
निर्देश,Instructions
खामियों,Flaws
कहना,tell
चाहूंगा,Would you like
ठेठ,Typical
उपनगरीय,Suburban
उनकी,Their
कठिनाइयों,Difficulties
दिखाया,Shown
सांस्कृतिक,Cultural
पृष्ठभूमि,Background
जहां,where
इन,In
संस्कृतियों,Cultures
जीवन,life
देखने,View
मूल्यों,Values
निर्माता,the creator
करीब,near
ला,La
संदर्भ,Context
बढ़,Increased
गई,Has been
मेरी,Mine
आंखों,Eyes
आंसू,tears
चौकड़ी,Quartet
तिकड़ी,Trio
Maugham,Maugham
लघु,Small
कहानियों,The stories
संस्करणों,Versions
गुणवत्ता,Quality
जारी,Ongoing
रखा,Kept
तीन,three
कथाएं,The stories
VERGER,VERGER
श्री,Mr
सैनिटोरियम,Sanatorium
हास्य,Humor
मजाक,joke
वेतन,the wages
पिछले,last
अधिक,more
गंभीर,serious
स्वास्थ्य,Health
मुद्दों,Issues
शामिल,Include
लेखक,Author
परिचय,introduction
जेंस,Jens
हयतर,Hauteur
जल्द,Soon
हस्ताक्षर,signature
भूमिका,role
नायक,hero
चर्च,The church
छोटे,Small
नौकरी,job
पादरी,Pastor
बौद्धिक,Intellectual
मोची,cobbler
सुनता,Hears
स्कूली,Schoolchildren
शिक्षा,Education
उसे,To him
आग,The fire
पैसे,Money
बचा,Left
लिया,took
पत्नी,wife
बताता,Tells
कैथलीन,Cathleen
हैरिसन,Harrison
छोटी,small
सी,C
खबर,news
दुकान,shop
खरीदने,Buy
शौक़ीन,Fondling
नजर,vision
जल्दी,soon
दुकानों,Shops
श्रृंखला,Chain
पोते,Grandson
समृद्ध,Enriched
पूर्व,East
चकित,Astonished
बैंक,The bank
प्रबंधक,The Manager
फेलिक्स,Felix
निवेश,Investment
विविधता,Diversity
लाने,Bring
मिलता,Get
छोड़,leave
देता,Gives
विडंबना,irony
बैठक,The meeting
सुनवाई,the hearing
अनुसार,according
क्रूज,Cruise
मैक्स,Max
पैट्रिक,Patrick
आदमी,man
मुलाकात,meeting
दोस्ताना,Friendship
मध्य,The middle
व्यापार,business
यात्रा,journey
गहने,Ornaments
थोड़ा,Little
दबंग,Dabangg
प्रकार,type
भाप,Steam
राज्य,state
कमरे,The room
ग्रे,Gray
शांत,Quiet
Wilfred,Wilfred
चुपचाप,Silently
अधिकतम,Maximum
चीजों,Things
सजीव,Live
भारी,Heavy
जहाज,ship
मनोरंजन,entertainment
बिंदु,Point
गैर,Non
चीन,China
साजिश,Conspiracy
जैसा,As
दिखता,Looks
शर्त,Bet
नकली,fake
असली,Real
टुकड़ा,The piece
बता,Tell
बनाता,Makes
जोर,Emphasis
देकर,By giving
कहा,said
उसने,He
उगता,Rises
अवसर,chance
वर्णन,The description
सबसे,from all
लंबा,long
नाटकों,Plays
काल्पनिक,Dreamy
हिचकॉक,Hitchcock
सीक्रेट,Secret
एजेंट,Agent
महीने,The month
कमजोर,Weak
खूबसूरत,beautiful
जवान,young
औरत,The woman
जीन,Jean
सिमंस,Simons
उल्लेखनीय,Remarkable
चालक,Driver
दल,The party
पाता,Finds
क्यूरी,Curie
रेमंड,Raymond
रोगी,Patient
जॉन,John
लॉरी,Lorry
फिनले,Finlay
दिखाता,Shows
आंतरिक,Internal
क्रोध,Anger
चलता,Walks
रेनी,Renee
धमकी,Threat
पात्रों,The characters
बीच,between
देखता,Sees
निष्कर्ष,Conclusion
खेलते,Play
निपटने,Dealing with
गहराई,In depth
बांका,Dandy
अनुवर्ती,Follow up
लायक,Worth
परिपक्व,Mature
स्वीकार,Acceptance
बहाने,Excuses
प्रतिक्रिया,reaction
जरूरत,Need
कह,Saying
ऐसे,Such
आगमन,Arrival
हमें,Us
अगले,Next
स्तर,Level
जाया,To go
प्रेमिका,lover
मुख्य,Main
चरित्र,Character
सचिव,Secretary
रेस्तरां,Restaurant
रोशन,Illuminating
वेबसाइट,Website
जानकारी,Information
होने,Having
निजी,Private
रुचि,Interest
लगता,Guess
मजाकिया,Funny
फिल्माया,Filmed
रोजर,Roger
Corman,Corman
शोषण,exploitation
संगठन,Organization
जोनाथन,Jonathan
Demme,Demme
नई,New
तस्वीरें,The photos
उच्च,High
लड़कियों,The girls
70,70
क्लासिक्स,Classics
अनुग्रह,Grace
सेल्यूलाइड,Celluloid
Russ,Russ
मेयेर,Meyer
हीरोइनें,Heroines
एरिक,Eric
लोमडी,Vixen
गुड़िया,The doll
घाटी,The valley
परे,Beyond
मजबूत,strong
मछली,fish
नारकीय,Hellish
दृढ़ता,Perseverance
प्रदर्शन,Display
हमेशा,always
बारबरा,Barbara
स्टील,Steel
मतलब,meaning
यौन,Sexual
कुंठित,Frustrated
वार्डन,Warden
महिला,Female
कैदियों,Prisoners
सामने,Front
धीमी,Slow
कामुक,Erotic
सपना,dream
स्वादिष्ट,Delicious
चित्रण,Depiction
प्रदान,Provided
बी,B
अभिनेत्री,Actress
उत्तेजित,Excited
करनेवाला,Doer
कोलिंस,Collins
हंसमुख,Cheerful
बेईमानी,Dishonesty
मुंह,Mouth
अपराधी,Criminal
कहता,Says
गंदा,dirty
ख़त्म,Ending
उल्लसित,Hilarious
घटिया,rubbish
प्यारी,Lovely
बारी,Turn
बचाता,Saves
उर्फ,Aka
टोबे,Tobey
हुप्स,Hoops
जिंदा,Alive
खाया,Ate
कर्टिस,Curtis
रूबी,Ruby
जीवंत,Lively
पागल,Mad
ऐलिस,Alice
शुरुआत,Beginning
चेरिल,Cheryl
स्मिथ,Smith
नाजुक,Fragile
भयावह,Frightening
निर्दोष,Innocent
छू,Touches
अलौकिक,Superhuman
यद्यपि,Though
चित्र,picture
भाषा,Language
अपेक्षित,Expected
पर्याप्त,Enough
मात्रा,Quantity
नग्नता,Nudity
बलात्कार,rape
हिंसा,Violence
आम,Mango
तौर,Modus
मूर्ख,idiot
थमने,To stay
गंदगी,Dirt
;,;
प्रभावी,Effective
ढंग,behaviour
कई,many
मायनों,The ways
पुरुषों,Men
क्रूर,Ruthless
महिलाओं,The ladies
समर्थक,Supporter
नारीवादी,Feminist
धारणा,an assumption
बाधाओं,Obstacles
दूर,away
समूह,group
बैंड,The band
बहादुरी,Bravery
misogynistic,misogynistic
सामना,Face
दावा,Claim
पड़ताल,Investigate
ताकतवर,Powerful
लड़,Fighting
बल,Strength
उत्तेजक,Stimulant
दिशा,The direction
माध्यम,Medium
आता,Comes
चतुरता,Cleverness
घटना,accident
विवरण,description
मानव,human
व्यवहार,Behavior
क्षणों,Moments
बहुतायत,Abundance
छायांकन,Shading
marvelously,marvelously
oddball,oddball
उदास,Sad
स्कोर,Score
उत्कृष्ट,Excellent
१००,100
%,%
राइट,Right
शेरिफ,Sheriff
सस्ते,Cheap
प्राणी,The creature
सुविधा,Facility
ट्रैक,Track
सा,Sa
कार,car
जेल,The jail
बच,The escape
गैस,Gas
स्टेशन,station
बंद,Close
बाथरूम,Bathroom
बेहद,Extremely
सुखद,Pleasant
बंदी,captive
गर्मी,heat
ड्राइव,Drive
बिल्कुल,absolutely
आवश्यक,Required
उत्तीर्ण,Passed
प्रशंसकों,Fans
किराए,Rent
जानता,knows
वास्तविकता,The reality
अविश्वास,Disbelief
रही,doing
जानते,Know
कर्ट,Kurt
रसेल,Russell
सिपाही,The soldier
दिखाने,Show
सिफारिश,Recommendation
कार्रवाई,Action
चाहता,Want
मुश्किल,Hard
कभी-कभार,Sometimes
इतनी,So much
क्यों,Why
पल,moment
पत्थर,stone
लड़का,The boy
भर,Filled
ने,has
बताया,Told
होगी,Will be
बावजूद,Despite
स्थानीय,Local
पुस्तकालय,Library
ऑनलाइन,Online
सूची,The list
देख,See
हाल,condition
रिलीज,Release
खरीदा,Bought
खुश,Happy
क्योंकि,Because
आश्चर्यजनक,Wonderful
पुराने,The old
वीएचएस,VHS
नकल,Copying
दोहराने,Repeat
सिने,Cine
बोल,lyrics
पहलू,Aspect
ऊपर,up
फोटोग्राफर,The photographer
सटीक,exact
स्टोन,stone
ब्वॉय,Boy
चित्रित,Painted
शैली,Style
पीछा,To pursue
I,I
','
ma,ma
तथ्य,Fact
छायाकार,Cinematographer
एकल,Solo
फर्म,Firm
कलाकारों,Artists
मदद,help
समझता,Understands
कैमरे,Cameras
वस्तुतः,In fact
सुंदरता,Beauty
ज्यादातर,mostly
उम्मीद,hope
विस्तार,Expand
जादू,Magic
सांस,Breath
लेता,Takes
डायरेक्टर,Director
क्रिस्टोफर,Christopher
कैन,Can
दिलचस्प,Interesting
करियर,Career
अपना,ours
इकट्ठा,Gathered
इसका,its
प्रतिनिधि,Representative
कैरियर,Carrier
पास,near
पकड़ने,Catch
बजट,Budget
ध्यान,Care
नुकसान,loss
सूक्ष्म,Subtle
पाया,Found
कदम,Step
चीजें,Things
स्वयं,Self
स्थान,place
लेने,To pick
पक्ष,Party
रॉ,Raw
स्वभाव,The nature
एकमुश्त,Outright
दर्दनाक,Painful
प्रदर्शित,Displayed
ज्यादा,more
लोग,The people
मौजूद,Present
वास्तविक,Actual
वापस,back
आयोजित,Held
जीना,Live
स्क्रिप्ट,Script
रॉबर्ट,Robert
Duvall,Duvall
ग्लेन,Glen
संमानित,Honored
अनुमति,the permission
बस,Bus
मौजूदा,Existing
बिताना,To spend
चाहे,Whether
वो,they
कहें,Say
मामूली,Modest
गहरे,Deep
महत्व,Importance
शुद्ध,Pure
वजन,Weight
नीचे,bottom
देखो,Look at
साउंडट्रैक,Soundtrack
भूल,forget
अवधि,Period
तस्वीर,Picture
बचपन,childhood
याद,remember
1970,1970
दशक,Decade
आधुनिक,modern
शैलियों,Genres
मामले,The case
80,80
ख़ामोश,Understatement
जानने,To know
समग्र,Overall
परिणाम,result
व्यक्ति,person
उत्तर,answer
अमेरिका,America
युग,Era
पले,Grew up
त्वचा,The skin
मिलना,Get
खुद,Myself
द,The
बॉय,Bye
जैसी,Like
मायने,Meanings
भावना,feeling
कृपया,please
देखें,View
काले,The black
घोड़े,The horse
१९७९,1979
भेड़िया,Wolf
१९८३,1983
निविदा,Tender
दया,Mercy
वसीयतनामा,Testament
१९८४,1984
१९८७,1987
हाई,Hi
ड्राइविंग,Driving
मिस,Miss
डेज़ी,Daisy
१९८९,1989
१९९३,1993
१९९४,1994
वेंडी,Vendee
लुसी,Lucy
२००८,2008
हां,Yes
पूरा,complete
सितारों,The stars
सादे,Plain
ब्रह्मांड,The universe
ट्रेंट,Trent
हैरिस,Harris
युवा,Young
भेजा,Sent
टेप,Tape
पकड़,Hold
महिमा,glory
सिर्फ,Only
बुरा,Bad
युवक,young boy
त्रासदी,Tragedy
खत्म,Finish
वैकल्पिक,Alternative
साथी,partner
त्रयी,Trilogy
अन्य,other
जिनमें,In which
क्रमशः,Respectively
युवकों,Youth
शॉन,Shawn
पेन,pen
ग्लोवर,Glover
बताना,To tell
संदर्भित,Referenced
वेनिला,Vanilla
व्यापक,Comprehensive
झलक,Glimpse
दे,Give
ठीक,Fine
ब्लॉक,The block
बस्टर,Buster
लूट,robbery
मारा,hit
बड़ी,Large
हिट,Hit
हम,We
रेमन,O mind
..,..
मिश्रित,Mixed
समीक्षाएं,Reviews
सुना,Heard
उत्पादन,The production
रिहाई,The release
इंतज़ार,Wait
चियर्स,Cheers
समर्थन,Support
डाली,branch
ईवा,Eva
दी,Given
राज्यों,States
उत्तरार्द्ध,The latter
भाग,run
riveting,riveting
काफी,enough
आनंद,happiness
सवाल,Question
निहित,Vested
चोंग,Chong
कोलाहल,Uproar
खेलना,to play
ड्रग्स,Drugs
गायन,Singing
दवाओं,Medicines
कारों,Cars
पेशाब,urine
विदेशियों,Foreigners
कपड़े,dresses
धोने,To wash
कॉमेडी,Comedy
खड़े,Stand up
अंतरिक्ष,Space
कोक,Coke
सुसंगत,Consistent
प्रशंसनीय,Commendable
हास्यास्पद,Ridiculous
बनने,To become
क्लासिक,Classic
दृश्यों,Scenes
उद्घाटन,Inaugaration
मिल,The mill
गीत,song
गाना,song
पालन,obey
जोंस,Jones
कार्यालय,Office
शोर,Noise
मशीन,machine
अकादमी,The academy
हंस,Swan
धूंरपान,Bluntness
निगाहों,Glance
नैंसी,Nancy
प्रशंसक,The fan
मूल,Original
किताबें,The books
पढ़ी,Read
पढ़ें,Read
९६,9 6
खलनायक,Villain
कम,Less
देने,To give
खबरदार,Beware
सुराग,Clue
जमाने,In time
किताबों,The books
पढ़,Read
शिकायत,complaint
पढ़ा,Read
एम्मा,Emma
हिस्सों,Parts
रोमांचक,Thriller
हल,solution
सुझाव,suggestion
आकर्षित,Attracted
देखते,See
ऑस्कर,Oscar
योग्य,Suitable
इसकी,his
सकती,Can
तुलना,Comparison
मिठाई,sweet
छोटा,small
दफ़्ती,Carton
मिलाया,Mixed
मज़ेदार,Funny
नफरत,hatred
बर्बाद,Ruin
भले,Well
कड़वा,Bitter
स्वर्ग,heaven
उस,That
चलते,Go
आलोचक,Critic
मार्मिक,touching
लेनन,Lennon
जारेड,Jared
बकाया,Arrears
सदृश,Identical
भाव,Emotion
उच्चारण,pronounced
कैफे,Cafe
मौखिक,Oral
बड़बड़ा,Rowdy
बहस,debate
पॉल,Paul
मेकार्टनी,McCartney
पंख,wing
प्रेम,Love
#,#
1,1
साल,year
अभिनेता,Actor
विश्वसनीय,Reliable
आदेश,order
15,15
सुपर,Super
शक्तियों,Powers
शक्ति,Power
दृष्टि,vision
3,3
रोल,Roll
विशेष,special
प्रभाव,effect
विस्फोट,explosion
जगह,place
फैंसी,Fancy
सामान,Luggage
अंय,Any
बनाने,To make
2,2
मिनट,Minute
प्रकाश,Light
कोशिश,try
उपग्रह,Satellite
लोड,Load
निकाल,Result
संभव,possible
मानवता,Humanity
दिखाओ,show
बेवकूफी,Stupid
चीर,Rag
ईमानदारी,Honesty
किंग,Kings
कांग,Kang
१९७६,1976
न,not
प्रबंधन,Management
सरासर,Sheer
हंसते,Laugh
सफलतापूर्वक,Successfully
भविष्यवाणी,Prediction
पीटर,Peter
जैक्सन,Jackson
दुखी,sad
२००५,2005
कंप्यूटर,computer
कार्टून,Cartoon
असर,effect
रोमांस,Romance
यति,Yeti
भव्य,Grand
रहने,Stay
मृत,Dead
बनाई,Made
तरफ,Side
इंयुएंदो,Iyindo
tweak,tweak
अलविदा,Bye
कहने,To say
सेक्स,sex
राक्षसी,Monstrous
पैकेज,Package
कवर,The cover
जॉक,Jock
पट्टा,Lease
संरचनात्मक,Structural
सह,With
निराला,Unique
वैज्ञानिक,Scientist
दुर्लभ,rare
टोनी,Tony
सहायक,Assistant
बुद्धिमान,intelligent
कुत्ते,dogs
साहसिक,Adventurous
यूरोप,Europe
एसई,Se
बदल,change
बंदर,monkey
हाथ,hand
राक्षस,Demon
सचमुच,Really
पैमाने,Scale
सजाया,Decorated
अनुपयुक्त,out of place
डब्ल्यू,W
बीमार,Sick
नरसंहार,Massacre
बनाम,Vs
वश,Habit
भीड़,crowd
शॉट्स,Shots
स्पेनिश,the Spanish
इतालवी,Italian
कनाडा,Canada
एक्स्ट्रा,Extra
कलाकार,The artist
निर्भर,Dependent
बना,Make
बताओ,Tell
तैयार,ready
शूटिंग,Shooting
मंचन,Staging
अयोग्य,Inept
जीत,win
उत्साह,excitement
फ्रैंक,Frank
क्रेमर,Kramer
वही,the same
१९६८,1968
भगवान,God
स्पेगेटी,Spaghetti
पश्चिमी,Western
महत्वपूर्ण,Important
1960,1960
पाने,The leaves
कहूंगा,Will say
आरामदायक,Comfortable
परिवारों,The families
उद्देश्य,an objective
अवसरों,Occasions
लापरवाह,Reckless
तकनीकी,Technical
अर्थहीन,Meaningless
गंभीरता,seriousness
खेला,Played
चूसा,Sucked
सामग्री,material
बेवकूफ,idiot
सत्ता,power
चेतन,Chetan
सेना,Army
गुनाह,Guilt
+,+
असल,The real
मूवीज,Movies
आंशिक,Partial
सूट,Suit
ध्वनि,The sound
चरणों,The steps
सेट,Set
फाड़,Tearing
निर्बाध,Uninterrupted
एनिमेटेड,Animated
हार्ड,Hard
नीरस,Docile
घंटे,Hours
पद,Post
राजा,King
अभिशाप,The curse
असंभव,Impossible
मजा,fun
रौंद,Trample
फेंक,The throw
मौका,opportunity
ऊर्जावान,Energetic
सशस्त्र,Armed
खींच,Stretching
पूर्ण,complete
शरीर,the body
मोटा,Fat
उद्धार,The salvation
गु,Th
साझा,Share
करेंगे,will do
ई,E
सप्ताहांत,Weekend
दें,Give it
उंर,U
प्रतिबद्ध,Committed
10/10,10/10
परवाह,Care
आसपास,Nearby
आते,To come
चाहते,Want
पृष्ठ,Page
१९७२,1972
फैशन,Fashion
दशकों,Decades
संस्कृति,culture
अध्ययन,study
पनीर,cottage cheese
गेंद,The ball
हमारे,our
एकमात्र,only
30,30
संरक्षित,Protected
मना,deny
खराब,bad
डर,The fear
जाकर,By going
यदि,If
भेजता,Sends
झगड़े,Quarrel
ंयूयॉर्क,New York
स्टीव,Steve
ब्रॉडी,Brody
बेड़ा,Fleet
चक,Chuck
बियर,beer
उन्नीसवीं,Nineteenth
गाइ,The cow
कॉन,Who
हरकतों,Antics
fictionalized,fictionalized
नाटक,the drama
पौराणिक,Mythological
-यह,-this
तर्क,Argument
कारण,reason
कूद,The jump
जिसके,Whose
अमेरिकी,American
वाल्श,Walsh
बड़ा,big
स्नेह,love
गायक,Singer
जंगली,Wild
संख्या,Number
फे,Fe
हित,The interest
लड़के,The boy
ऊर्जा,Energy
चाल,Trick
तेज,fast
गति,Speed
टॉकीज,Talkies
विपरीत,Adverse
खोजने,To find
स्टार,star
वार्स,Warsaw
जेडी,Jedi
वीडियो,Video
एम,M
पार्टी,party
आत्माओं,Souls
टी,T
वी,We
जश्न,Celebrate
इससे,by this
कहते,Say
बेन,Ben
मर,Die
गायब,missing
Yoda,Yoda
बुढ़ापे,Old age
ल्यूक,Luke
डार्थ,Darth
Vader,Vader
अभिनीत,Starring
खड़ा,Stand
मुस्कुराते,Smiling
आत्मा,The soul
प्रकट,Manifest
सामांय,Ordinary
मुस्कुरा,Smiling
जमीन,land
हथियार,weapons
तहत,Under
मार,Kill
डाला,Put in
मजेदार,Funny
मुड़,Twisted
विचारों,Ideas
और..,And..
खैर,Well
देवियों,Ladies
नीच,Despicable
श्यामला,Brunette
वर्ग,category
टिम,Tim
घास,Grass
प्लेबॉय,Playboy
उठाया,raised
खेलता,Play
ह्यूग,Hugh
आंकड़ा,the figure
अश्लील,Obscene
अभिनेत्रियों,Actresses
लगातार,continuously
सड़क,road
दृष्टिकोण,point of view
जवानी,youth
सिखाया,Taught
रोकना,stop
सीखना,learn
kicks,kicks
आकर्षण,Attraction
गूंगा,dumb
भाग्य,luck
रहस्यमय,Mysterious
अर्द्ध,Semi
अत्यधिक,Excessive
हुड,Hood
क्रेडिट,Credit
Romero,Romero
आह्वान,Invoke
मानक,standard
ख्वाहिश,Aspire
बर्दाश्त,Tolerance
दूसरा,Second
पेशेवर,Professional
शक,doubt
शहरी,Urban
जादूगर,Magician
उलझन,Confusion
ईमानदार,honest
अच्छे,Good
ज़ोंबी,Zombie
पुरस्कृत,Rewarded
ओह,"Oh, is that so"
निश्चित,Fixed
पाठ्यक्रम,syllabus
निर्देशकों,Directors
शौकीनों,Amateurs
दोस्तों,Friends
आबाद,Populated
डाकू,robber
सिनेमा,Cinema
हाँ,Yes
सस्ता,Cheap
रिकी,Ricky
दौरान,During
प्रयोगशाला,the laboratory
रात,night
उन्होंने,They
योजना,Plan
भागने,Escape
तथापि,However
गोली,Gun Shot
उत्सुक,Eager
मन,The mind
विकल्प,the option
प्रस्तुत,Presented
